Date,Open,High,Low,Close
2005/01/03,58.720001,58.720001,57.799999,57.98
2005/01/04,57.959999,58.16,56.82,57.099998
2005/01/05,57,57.220001,56.84,57.200001
2005/01/06,57.200001,57.5,57.060001,57.48
2005/01/07,57.52,58.5,57.32,58.380001
2005/01/10,58,58.52,57.599998,58.52
2005/01/11,58.5,58.5,57.5,57.529999
2005/01/12,57.68,58,57.209999,57.52
2005/01/13,57.5,57.560001,57.220001,57.400002
2005/01/14,57.66,57.68,57.200001,57.27
2005/01/18,57.52,58.02,57.32,57.799999
2005/01/19,57.799999,58.360001,57.639999,57.779999
2005/01/20,58.32,58.5,58.02,58.360001
2005/01/21,58.720001,60.240002,58.599998,60.09
2005/01/24,60,60.080002,59.860001,60
2005/01/25,60,60.009998,59.299999,59.700001
2005/01/26,59.700001,59.700001,59.259998,59.279999
2005/01/27,59.400002,59.5,58.66,58.84
2005/01/28,59.200001,60.060001,59.080002,60
2005/01/31,60,60.119999,59.400002,59.880001
2005/02/01,59.939999,60.439999,59.860001,60.34
2005/02/02,60.299999,60.48,60,60.080002
2005/02/03,60.279999,60.279999,59.880001,60.080002
2005/02/04,60,60.490002,59.66,60.490002
2005/02/07,60.490002,60.919998,60.32,60.860001
2005/02/08,60.700001,60.860001,60.16,60.720001
2005/02/09,60.759998,60.860001,60.41,60.66
2005/02/10,60.619999,60.740002,60.439999,60.599998
2005/02/11,60.5,61.34,60.5,61.16
2005/02/14,61.279999,61.279999,60.84,60.84
2005/02/15,60.84,61.16,60.619999,60.619999
2005/02/16,60.639999,60.700001,60.040001,60.459999
2005/02/17,60.200001,60.34,60.060001,60.240002
2005/02/18,60.200001,60.200001,59.84,60.049999
2005/02/22,59.82,60.700001,59.799999,60.080002
2005/02/23,60.330002,60.799999,60.200001,60.68
2005/02/24,60.740002,60.740002,60,60.240002
2005/02/25,60,60.459999,59.939999,60.32
2005/02/28,60.240002,60.360001,60.099998,60.299999
2005/03/01,60.32,60.700001,60.240002,60.419998
2005/03/02,60.32,60.380001,60.040001,60.080002
2005/03/03,60.02,60.299999,59.279999,59.52
2005/03/04,59.700001,59.84,59.200001,59.580002
2005/03/07,59.799999,60.34,59.360001,60.02
2005/03/08,60.049999,60.419998,59.860001,60.220001
2005/03/09,60,60.700001,60,60.5
2005/03/10,60.360001,60.459999,60.02,60.139999
2005/03/11,60.240002,60.360001,60,60.02
2005/03/14,60.32,60.32,60.02,60.119999
2005/03/15,60.240002,60.299999,59.560001,59.560001
2005/03/16,59.400002,59.400002,57.259998,57.360001
2005/03/17,57.400002,59.360001,57.400002,58.66
2005/03/18,58.880001,58.959999,58.16,58.369999
2005/03/21,58.360001,58.799999,58.02,58.02
2005/03/22,58,58,57.419998,57.700001
2005/03/23,57.459999,57.580002,57.200001,57.200001
2005/03/24,57.299999,58.119999,57.290001,57.900002
2005/03/28,58,58,57.099998,57.400002
2005/03/29,56.799999,57.52,56.099998,57.279999
2005/03/30,57.259998,58.16,57.18,57.759998
2005/03/31,57.66,57.700001,56.959999,57.119999
2005/04/01,56.900002,57.32,56.200001,56.299999
2005/04/04,57.200001,57.82,56.700001,57.700001
2005/04/05,57.860001,58.599998,57.860001,58.419998
2005/04/06,58.5,58.959999,58.200001,58.48
2005/04/07,58.400002,58.580002,57.82,58.049999
2005/04/08,57.900002,57.98,57.52,57.650002
2005/04/11,57.400002,58.52,57.400002,58.299999
2005/04/12,58.439999,58.639999,58.16,58.360001
2005/04/13,58.34,58.560001,57.400002,57.709999
2005/04/14,57.560001,57.599998,57.099998,57.220001
2005/04/15,56.900002,57.759998,56.66,56.939999
2005/04/18,57.240002,57.560001,56.240002,56.48
2005/04/19,56.799999,57.099998,56.200001,56.48
2005/04/20,56.48,56.48,55.200001,55.209999
2005/04/21,56.200001,56.299999,55.720001,55.959999
2005/04/22,55.959999,56.099998,54.84,54.860001
2005/04/25,55.200001,55.779999,54.880001,55.060001
2005/04/26,55.52,55.52,55,55.02
2005/04/27,54.98,55.080002,54.66,54.869999
2005/04/28,54.68,56.779999,54.68,55.799999
2005/04/29,55.860001,56.5,55.860001,55.959999
2005/05/02,56.66,57.599998,56.400002,56.599998
2005/05/03,56.599998,56.759998,56.02,56.259998
2005/05/04,56.599998,56.779999,56.259998,56.66
2005/05/05,56.66,56.66,56.16,56.220001
2005/05/06,56.099998,56.32,55.700001,55.919998
2005/05/09,56.240002,56.299999,55.52,55.52
2005/05/10,55.900002,55.900002,55.060001,55.240002
2005/05/11,55.700001,55.720001,55.099998,55.34
2005/05/12,55.299999,55.68,55.240002,55.48
2005/05/13,55.299999,55.599998,55.259998,55.34
2005/05/16,55.48,55.48,55.02,55.040001
2005/05/17,55.060001,55.220001,55,55.099998
2005/05/18,55.259998,55.32,55.040001,55.240002
2005/05/19,55.200001,56.16,55.169998,55.860001
2005/05/20,55.939999,56.099998,55.700001,56.049999
2005/05/23,56.34,56.34,55.52,55.619999
2005/05/24,55.799999,57.18,55.799999,57.18
2005/05/25,57.200001,57.200001,56.759998,56.900002
2005/05/26,56.900002,57,56.259998,56.419998
2005/05/27,56.240002,56.919998,56.240002,56.799999
2005/05/31,56.860001,57.099998,56.139999,56.200001
2005/06/01,56.459999,56.459999,56.18,56.18
2005/06/02,56.200001,56.299999,56,56.16
2005/06/03,56.040001,56.139999,55.740002,55.82
2005/06/06,55.599998,55.98,55.299999,55.540001
2005/06/07,55.52,55.759998,55.419998,55.459999
2005/06/08,55.66,55.66,55.220001,55.32
2005/06/09,55.459999,55.66,55.32,55.400002
2005/06/10,55.259998,55.799999,55.259998,55.400002
2005/06/13,55.799999,56.09,55.639999,55.759998
2005/06/14,56.240002,56.240002,55.990002,56.200001
2005/06/15,56.200001,56.200001,55.740002,55.860001
2005/06/16,55.860001,55.959999,55.419998,55.799999
2005/06/17,55.779999,55.880001,55.02,55.02
2005/06/20,55,55.419998,54.939999,55.139999
2005/06/21,55.259998,56.080002,55.139999,55.740002
2005/06/22,55.66,55.720001,55.259998,55.34
2005/06/23,55.459999,56.220001,55.299999,55.599998
2005/06/24,55.18,55.470001,55.099998,55.139999
2005/06/27,55.240002,55.880001,55.18,55.5
2005/06/28,55.799999,55.799999,55.220001,55.419998
2005/06/29,55.419998,55.66,55.400002,55.400002
2005/06/30,55.599998,55.799999,55.5,55.669998
2005/07/01,55.799999,55.919998,55.68,55.68
2005/07/05,55.740002,56.400002,55.740002,56.400002
2005/07/06,56.560001,56.880001,56.360001,56.799999
2005/07/07,56.099998,56.900002,56.099998,56.84
2005/07/08,56.799999,56.82,56.400002,56.560001
2005/07/11,56.540001,56.959999,56.450001,56.740002
2005/07/12,56.84,56.84,56.139999,56.139999
2005/07/13,56.200001,56.459999,56.080002,56.139999
2005/07/14,56.139999,56.360001,55.599998,55.639999
2005/07/15,55.720001,55.990002,55.599998,55.900002
2005/07/18,56,56,55.639999,55.75
2005/07/19,55.799999,55.900002,55.560001,55.720001
2005/07/20,55.639999,55.889999,55.639999,55.84
2005/07/21,55.799999,55.889999,55.639999,55.740002
2005/07/22,55.779999,56,55.700001,55.959999
2005/07/25,56,56.099998,55.880001,56.099998
2005/07/26,56.099998,56.139999,55.799999,55.860001
2005/07/27,55.919998,56.099998,55.799999,55.799999
2005/07/28,55.799999,56,55.619999,55.700001
2005/07/29,55.700001,56,55.619999,55.639999
2005/08/01,55.939999,55.98,55.68,55.959999
2005/08/02,55.959999,55.959999,55.580002,55.599998
2005/08/03,55.599998,55.740002,55.5,55.560001
2005/08/04,55.48,55.720001,55.380001,55.700001
2005/08/05,55.799999,56,55.43,55.740002
2005/08/08,55.919998,55.919998,55.34,55.459999
2005/08/09,55.540001,55.639999,55.200001,55.439999
2005/08/10,55.34,55.560001,55.32,55.360001
2005/08/11,55.360001,55.880001,55.200001,55.779999
2005/08/12,55.939999,56.080002,55.700001,56
2005/08/15,55.900002,56.060001,55.360001,55.41
2005/08/16,55.41,55.599998,55.279999,55.48
2005/08/17,55.48,55.52,55.220001,55.279999
2005/08/18,55.220001,56.740002,55.18,56.740002
2005/08/19,56.119999,56.759998,56.119999,56.599998
2005/08/22,56.560001,56.560001,56.200001,56.400002
2005/08/23,56.5,56.599998,56.360001,56.400002
2005/08/24,56.279999,56.32,56,56.139999
2005/08/25,56.060001,56.119999,55.799999,55.810001
2005/08/26,55.759998,55.860001,55.360001,55.439999
2005/08/29,55.200001,55.599998,55,55.419998
2005/08/30,55.360001,55.48,55.110001,55.16
2005/08/31,55.080002,55.52,55,55.52
2005/09/01,55.360001,55.439999,55,55.060001
2005/09/02,55.02,55.360001,55,55.119999
2005/09/06,55.139999,56.32,55.139999,55.639999
2005/09/07,55.700001,56,55.66,55.939999
2005/09/08,55.939999,56.240002,55.799999,56.16
2005/09/09,56,56.099998,55.799999,55.84
2005/09/12,55.66,55.77,55.220001,55.369999
2005/09/13,55.299999,55.400002,55,55.290001
2005/09/14,55.290001,55.540001,55.040001,55.16
2005/09/15,55,55.200001,54.759998,54.939999
2005/09/16,54.939999,55.34,54.48,54.5
2005/09/19,54.5,54.68,54.16,54.32
2005/09/20,54.360001,54.560001,54.200001,54.259998
2005/09/21,54.240002,54.360001,53.439999,53.5
2005/09/22,53.259998,54.18,52.240002,53.860001
2005/09/23,53.700001,55.360001,53.52,55.060001
2005/09/26,55.459999,55.830002,54.619999,54.900002
2005/09/27,54.959999,55.040001,54.740002,54.880001
2005/09/28,54.759998,54.98,54.419998,54.52
2005/09/29,54.360001,54.380001,54.060001,54.139999
2005/09/30,54.040001,54.799999,53.720001,54.619999
2005/10/03,54.619999,54.900002,54.560001,54.720001
2005/10/04,54.720001,55,54.599998,54.919998
2005/10/05,54.959999,55.439999,54.799999,55.240002
2005/10/06,55.16,55.279999,54.84,55
2005/10/07,55.060001,55.549999,54.82,54.959999
2005/10/10,54.959999,55.5,54.959999,55.400002
2005/10/11,55.599998,55.700001,55.32,55.400002
2005/10/12,55.259998,55.970001,55.259998,55.959999
2005/10/13,55.5,55.84,55.34,55.599998
2005/10/14,55.48,55.740002,55.02,55.740002
2005/10/17,55.700001,55.900002,55.459999,55.810001
2005/10/18,55.860001,55.900002,55.5,55.799999
2005/10/19,55.599998,55.939999,55.119999,55.740002
2005/10/20,55.639999,55.759998,55.34,55.639999
2005/10/21,55.84,55.860001,55.68,55.779999
2005/10/24,56,56.5,56,56.220001
2005/10/25,56.259998,56.599998,56,56.599998
2005/10/26,56.599998,56.599998,55.77,56.18
2005/10/27,56.080002,56.080002,55.560001,56.080002
2005/10/28,56.080002,56.400002,55.759998,55.98
2005/10/31,55.900002,56.34,55.860001,56.299999
2005/11/01,56.299999,56.860001,56.220001,56.68
2005/11/02,56.900002,57.5,56.5,57.119999
2005/11/03,57.400002,58.700001,57.299999,58.700001
2005/11/04,58.700001,58.700001,57.759998,58.380001
2005/11/07,58.380001,59.860001,57.799999,59.540001
2005/11/08,59.5,59.959999,59.279999,59.740002
2005/11/09,59.639999,59.779999,59.400002,59.700001
2005/11/10,59.560001,59.68,59.32,59.639999
2005/11/11,59.700001,60.060001,59.52,59.700001
2005/11/14,59.700001,59.860001,59.240002,59.400002
2005/11/15,59.279999,59.5,59.16,59.200001
2005/11/16,59.060001,59.139999,58.220001,58.380001
2005/11/17,58.439999,59.200001,58.299999,59.18
2005/11/18,59.02,59.48,59,59.139999
2005/11/21,58.799999,58.939999,58.080002,58.220001
2005/11/22,58.400002,58.400002,57.16,57.900002
2005/11/23,58.099998,58.970001,57.959999,58.400002
2005/11/25,58.439999,58.560001,57.939999,58.139999
2005/11/28,58.400002,58.509998,58.119999,58.240002
2005/11/29,58.299999,58.759998,58.119999,58.709999
2005/11/30,58.779999,59.200001,58.759998,59.099998
2005/12/01,59.279999,60.16,59.279999,60.139999
2005/12/02,60.099998,60.630001,60.060001,60.380001
2005/12/05,60.380001,60.380001,59.200001,59.200001
2005/12/06,59.700001,59.880001,59.299999,59.799999
2005/12/07,59.700001,59.82,59.279999,59.700001
2005/12/08,59.700001,59.700001,59.200001,59.599998
2005/12/09,59.580002,59.720001,59.419998,59.639999
2005/12/12,59.740002,59.799999,59.5,59.5
2005/12/13,59.5,59.68,59.200001,59.400002
2005/12/14,59.400002,59.599998,59.099998,59.139999
2005/12/15,59.259998,59.52,59.040001,59.040001
2005/12/16,59.16,59.5,59.02,59.48
2005/12/19,59.32,59.439999,59.080002,59.080002
2005/12/20,59.040001,59.200001,58.830002,58.950001
2005/12/21,58.900002,59.200001,58.84,59.060001
2005/12/22,59.060001,59.139999,58.759998,58.880001
2005/12/23,58.860001,59.16,58.860001,59.060001
2005/12/27,59.18,59.18,58.720001,58.880001
2005/12/28,58.799999,58.919998,58.599998,58.709999
2005/12/29,58.720001,58.98,58.720001,58.98
2005/12/30,59,59.02,58.580002,58.709999
2006/01/03,58.5,59.299999,58.419998,59.299999
2006/01/04,59.259998,59.98,59.259998,59.34
2006/01/05,59.259998,59.48,59.080002,59.200001
2006/01/06,59.360001,59.599998,59.220001,59.400002
2006/01/09,59.200001,59.639999,59.02,59.580002
2006/01/10,59.400002,59.599998,59.299999,59.400002
2006/01/11,59.400002,59.639999,59.080002,59.279999
2006/01/12,59.099998,59.299999,58.779999,58.900002
2006/01/13,58.900002,59.240002,58.82,59.040001
2006/01/17,59,59,58.599998,58.860001
2006/01/18,58.68,59.299999,58.68,59.279999
2006/01/19,59.5,59.759998,59.119999,59.27
2006/01/20,59.279999,59.360001,58.799999,58.84
2006/01/23,58.799999,59.18,58.700001,58.790001
2006/01/24,58.779999,59.119999,58.779999,58.959999
2006/01/25,58.919998,59.299999,58.779999,59.299999
2006/01/26,59.200001,59.200001,58.740002,58.82
2006/01/27,58.919998,59,58.599998,58.759998
2006/01/30,58.759998,58.900002,58.560001,58.560001
2006/01/31,58.700001,58.779999,58.220001,58.639999
2006/02/01,58.400002,58.52,58.16,58.299999
2006/02/02,58.299999,58.360001,57.919998,58.139999
2006/02/03,58.200001,58.200001,57.700001,57.84
2006/02/06,57.619999,57.84,57.52,57.700001
2006/02/07,57.540001,57.799999,57.220001,57.529999
2006/02/08,57.580002,57.91,57.400002,57.84
2006/02/09,57.900002,58.099998,57.82,57.82
2006/02/10,57.919998,58.259998,57.799999,57.919998
2006/02/13,58.119999,58.34,57.970001,58.34
2006/02/14,58.34,58.599998,58.119999,58.540001
2006/02/15,58.540001,58.599998,58.16,58.299999
2006/02/16,58.200001,58.34,57.900002,58.099998
2006/02/17,57.939999,58.16,57.84,58
2006/02/21,58,58.09,57.66,57.68
2006/02/22,57.200001,57.939999,57.200001,57.639999
2006/02/23,57.700001,57.82,57.5,57.619999
2006/02/24,57.759998,57.759998,57.419998,57.580002
2006/02/27,57.400002,58.150002,57.400002,57.939999
2006/02/28,58.099998,58.099998,57.200001,57.759998
2006/03/01,57.84,58.02,57.560001,57.830002
2006/03/02,57.740002,57.98,57.68,57.860001
2006/03/03,57.900002,58.419998,57.799999,58.23
2006/03/06,58.560001,58.900002,58.400002,58.77
2006/03/07,58.68,58.939999,58.470001,58.799999
2006/03/08,58.880001,59.18,58.68,59.16
2006/03/09,59.400002,59.84,59.240002,59.630001
2006/03/10,59.66,60,59.630001,59.900002
2006/03/13,59.900002,60.240002,59.900002,60.099998
2006/03/14,59.959999,60.080002,59.599998,59.619999
2006/03/15,59.720001,59.740002,59.240002,59.459999
2006/03/16,59.599998,59.66,59.419998,59.5
2006/03/17,59.400002,59.439999,58.860001,59.220001
2006/03/20,59.459999,59.799999,59.439999,59.700001
2006/03/21,59.709999,60.02,59.599998,59.740002
2006/03/22,59.84,60.119999,59.779999,60
2006/03/23,60,60.119999,59.799999,59.919998
2006/03/24,59.900002,60.18,59.779999,60.18
2006/03/27,59.799999,60.099998,59.68,59.900002
2006/03/28,59.919998,59.959999,59.66,59.880001
2006/03/29,59.919998,60,59.68,59.889999
2006/03/30,59.700001,59.98,59.700001,59.84
2006/03/31,59.880001,60.259998,59.880001,60.240002
2006/04/03,60.200001,60.5,59.900002,60.240002
2006/04/04,60.200001,60.259998,59.91,60.02
2006/04/05,59.939999,60.080002,59.740002,59.799999
2006/04/06,59.799999,59.900002,59.700001,59.799999
2006/04/07,59.68,59.799999,59.139999,59.439999
2006/04/10,59.16,59.18,58.720001,58.990002
2006/04/11,58.900002,58.919998,58.32,58.400002
2006/04/12,58.299999,58.299999,57.880001,58
2006/04/13,57.84,58,57.740002,57.860001
2006/04/17,57.759998,57.900002,57.18,57.360001
2006/04/18,57.240002,57.400002,56.779999,57
2006/04/19,57.16,57.529999,57,57.419998
2006/04/20,57.439999,57.580002,57.220001,57.400002
2006/04/21,57.32,57.700001,57.200001,57.619999
2006/04/24,57.619999,57.740002,57.299999,57.459999
2006/04/25,57.459999,57.66,57.459999,57.650002
2006/04/26,57.650002,58.84,57.650002,58.700001
2006/04/27,58.5,58.959999,58.200001,58.279999
2006/04/28,58.200001,59.040001,58.16,59.040001
2006/05/01,59.16,59.700001,59.060001,59.599998
2006/05/02,59.669998,59.779999,59.200001,59.200001
2006/05/03,59.200001,59.200001,58.880001,59.060001
2006/05/04,58.860001,58.860001,58.200001,58.200001
2006/05/05,58.400002,59.099998,58.400002,58.900002
2006/05/08,59.400002,59.799999,59.080002,59.080002
2006/05/09,59.099998,59.799999,59.080002,59.700001
2006/05/10,59.700001,59.98,59.48,59.619999
2006/05/11,59.66,60,59.66,59.740002
2006/05/12,59.740002,59.779999,59.23,59.599998
2006/05/15,59.66,59.98,59.419998,59.880001
2006/05/16,59.91,60.459999,59.91,60.18
2006/05/17,60.200001,60.599998,60.099998,60.5
2006/05/18,60.400002,61.799999,60.380001,61.400002
2006/05/19,61.5,61.900002,60.700001,61.18
2006/05/22,61.18,61.98,60.740002,61.810001
2006/05/23,61.66,61.66,60.400002,60.779999
2006/05/24,60.98,61.799999,60.82,61.68
2006/05/25,61.599998,61.720001,61.02,61.34
2006/05/26,61.459999,61.650002,61.049999,61.34
2006/05/30,61.5,61.740002,61.189999,61.27
2006/05/31,61.639999,61.639999,61.200001,61.380001
2006/06/01,61.459999,61.57,61,61.299999
2006/06/02,61.139999,61.32,60.880001,61.119999
2006/06/05,61.119999,61.279999,61.040001,61.169998
2006/06/06,61,61.139999,60.400002,60.959999
2006/06/07,60.759998,60.830002,60.360001,60.400002
2006/06/08,60.400002,60.48,59.630001,60.16
2006/06/09,60.139999,60.599998,60.119999,60.439999
2006/06/12,60.360001,60.619999,60.360001,60.459999
2006/06/13,60.16,60.599998,59.799999,60.290001
2006/06/14,60.139999,60.220001,59.860001,60.099998
2006/06/15,60.099998,61.599998,60.099998,61.200001
2006/06/16,61.080002,61.18,60.82,61.119999
2006/06/19,61.259998,61.779999,61.16,61.759998
2006/06/20,61.639999,61.700001,61.259998,61.599998
2006/06/21,61.400002,61.700001,61.34,61.68
2006/06/22,61.740002,61.740002,61.209999,61.32
2006/06/23,61.200001,61.48,61.200001,61.419998
2006/06/26,61.240002,61.279999,59.66,60.860001
2006/06/27,60.799999,61.279999,60.799999,60.860001
2006/06/28,61,61.459999,60.720001,61.459999
2006/06/29,61.400002,61.48,60.799999,61.299999
2006/06/30,61.34,61.5,60.82,60.860001
2006/07/03,61.299999,61.439999,60.860001,61
2006/07/05,60.700001,60.700001,59.799999,59.799999
2006/07/06,60.099998,60.299999,60.02,60.130001
2006/07/07,59.959999,60.18,59.900002,60.099998
2006/07/10,60.099998,60.919998,60.080002,60.68
2006/07/11,60.400002,60.68,60.400002,60.580002
2006/07/12,60.580002,60.66,60.23,60.290001
2006/07/13,60.279999,60.380001,59.560001,59.98
2006/07/14,60,60,59.580002,59.900002
2006/07/17,59.720001,60.259998,59.639999,60.139999
2006/07/18,60.200001,60.360001,59.900002,60.259998
2006/07/19,60.200001,60.700001,60.200001,60.599998
2006/07/20,60.599998,60.700001,60.299999,60.540001
2006/07/21,60.400002,60.439999,59.639999,60.130001
2006/07/24,60.040001,60.91,59.959999,60.599998
2006/07/25,60.560001,60.75,60.5,60.5
2006/07/26,60.48,60.939999,60.299999,60.700001
2006/07/27,60.639999,60.900002,60.48,60.900002
2006/07/28,60.700001,61,60.700001,60.860001
2006/07/31,60.700001,61.419998,60.700001,60.939999
2006/08/01,60.939999,61.299999,60.779999,60.91
2006/08/02,60.91,61.200001,60.66,60.82
2006/08/03,60.900002,61.060001,60.740002,60.84
2006/08/04,60.84,61.099998,60.84,61
2006/08/07,61.400002,61.799999,61.240002,61.700001
2006/08/08,61.639999,62.419998,61.639999,61.900002
2006/08/09,61.900002,62.119999,61.599998,61.900002
2006/08/10,61.700001,62.060001,61.459999,62.060001
2006/08/11,61.900002,62.049999,61.82,62.040001
2006/08/14,62.040001,62.099998,61.52,61.599998
2006/08/15,61.5,61.759998,61.32,61.560001
2006/08/16,61.5,63.240002,61.5,62.900002
2006/08/17,62.639999,63.18,62.439999,62.799999
2006/08/18,62.799999,63.700001,62.799999,63.580002
2006/08/21,63.380001,63.869999,63.32,63.84
2006/08/22,63.779999,63.919998,63.509998,63.619999
2006/08/23,63.619999,63.790001,63.299999,63.459999
2006/08/24,63.66,64.580002,63.66,64.160004
2006/08/25,64.279999,64.279999,63.700001,64.040001
2006/08/28,64.040001,64.300003,63.43,63.93
2006/08/29,63.759998,64.120003,63.740002,64.089996
2006/08/30,63.919998,64.019997,63.84,63.939999
2006/08/31,63.860001,64.120003,63.799999,64.07
2006/09/01,63.860001,64,63.720001,63.900002
2006/09/05,63.759998,64.279999,63.720001,64.260002
2006/09/06,64.260002,64.260002,63.939999,64
2006/09/07,63.900002,64.07,63.759998,64.010002
2006/09/08,64,64.169998,63.84,64.139999
2006/09/11,64.080002,64.540001,63.799999,64.120003
2006/09/12,64.120003,64.480003,63.900002,64.199997
2006/09/13,64,64.400002,63.880001,64.400002
2006/09/14,64.400002,64.68,64.300003,64.5
2006/09/15,64.5,64.760002,64.300003,64.300003
2006/09/18,64.519997,64.580002,63.639999,63.740002
2006/09/19,63.740002,63.740002,62.799999,62.799999
2006/09/20,62.82,63.540001,62.82,63.279999
2006/09/21,63.18,63.220001,62.610001,62.779999
2006/09/22,62.700001,62.799999,62.080002,62.389999
2006/09/25,62.360001,62.5,61.779999,62.459999
2006/09/26,62.459999,63.18,62.400002,63.080002
2006/09/27,62.799999,63.459999,62.740002,63.389999
2006/09/28,63.560001,63.799999,63.040001,63.240002
2006/09/29,63.599998,64,63.439999,63.48
2006/10/02,63.400002,64.199997,63.299999,63.5
2006/10/03,63.700001,64.800003,63.439999,64.790001
2006/10/04,64.660004,65,64.540001,65
2006/10/05,65,66.5,64.940002,65.599998
2006/10/06,65.620003,65.860001,65.199997,65.599998
2006/10/09,65.720001,65.720001,65.220001,65.419998
2006/10/10,65.480003,66.379997,65.480003,66.279999
2006/10/11,66.260002,66.279999,65.839996,66.080002
2006/10/12,66.139999,66.660004,66.120003,66.580002
2006/10/13,66.599998,66.660004,65.599998,65.599998
2006/10/16,65.760002,66.099998,65.639999,66.019997
2006/10/17,65.860001,66.139999,65.68,65.82
2006/10/18,65.760002,66.400002,65.760002,66.18
2006/10/19,66.360001,66.639999,66.32,66.559998
2006/10/20,66.580002,66.580002,66.139999,66.559998
2006/10/23,66.559998,66.879997,66.5,66.660004
2006/10/24,66.760002,67.300003,66.75,67.099998
2006/10/25,67.400002,68.400002,67,67.839996
2006/10/26,68.5,69.919998,68.440002,69.800003
2006/10/27,69.779999,70.459999,69.139999,69.139999
2006/10/30,69,70,68.900002,69.639999
2006/10/31,70.199997,70.440002,69.919998,70.300003
2006/11/01,70.199997,70.419998,69.559998,69.860001
2006/11/02,69.660004,70.019997,68.900002,69.459999
2006/11/03,69.459999,70.099998,69.459999,70.019997
2006/11/06,71.279999,71.75,70.760002,71.739998
2006/11/07,71.199997,71.650002,71.040001,71.419998
2006/11/08,71.739998,71.959999,71.360001,71.860001
2006/11/09,72.199997,72.559998,71.220001,71.32
2006/11/10,71.720001,72.230003,71.220001,71.400002
2006/11/13,71.919998,72,70.779999,70.959999
2006/11/14,71.199997,71.199997,70.440002,71.199997
2006/11/15,71.199997,71.440002,70.959999,71.400002
2006/11/16,71.760002,71.82,71.199997,71.290001
2006/11/17,71.120003,71.400002,71.040001,71.160004
2006/11/20,71.459999,71.5,71.18,71.43
2006/11/21,71.860001,71.860001,71.360001,71.620003
2006/11/22,71.720001,71.900002,71.480003,71.860001
2006/11/24,71.860001,71.860001,71.5,71.75
2006/11/27,72.059998,72.059998,70.599998,71.139999
2006/11/28,71.07,71.07,70.230003,70.639999
2006/11/29,70.519997,70.760002,70.139999,70.379997
2006/11/30,70.300003,71.43,70.169998,71.099998
2006/12/01,71.099998,71.339996,70.400002,71.199997
2006/12/04,70.919998,71.660004,70.919998,71.440002
2006/12/05,71.300003,72.239998,71.300003,72.080002
2006/12/06,71.720001,73.32,71.559998,72.639999
2006/12/07,72.400002,72.660004,71.400002,71.660004
2006/12/08,71.459999,71.830002,71.220001,71.5
2006/12/11,71.239998,72.360001,71.239998,71.839996
2006/12/12,71.900002,73.300003,71.599998,73.300003
2006/12/13,72.800003,73.400002,72.68,73.260002
2006/12/14,73.059998,73.559998,73.040001,73.5
2006/12/15,73.360001,76,73.239998,76
2006/12/18,76.5,76.5,75.540001,75.620003
2006/12/19,75.519997,75.559998,74.900002,75.400002
2006/12/20,75.559998,75.760002,74.120003,74.419998
2006/12/21,74.099998,74.760002,72.839996,73.160004
2006/12/22,73.32,73.599998,72.940002,73.190002
2006/12/26,73.139999,73.239998,71.82,73.18
2006/12/27,73.660004,73.660004,73.160004,73.279999
2006/12/28,73.639999,73.639999,73.040001,73.349998
2006/12/29,73.199997,73.32,72.519997,73.32
2007/01/03,73.559998,73.720001,72.599998,72.860001
