Date,Open,High,Low,Close
2000/01/03,290.25,290.25,290.25,290.25
2000/01/04,281.5,281.5,281.5,281.5
2000/01/05,280.45,280.45,280.45,280.45
2000/01/06,279.4,279.4,279.4,279.4
2000/01/07,282.1,282.1,282.1,282.1
2000/01/10,281.6,281.6,281.6,281.6
2000/01/11,282.25,282.25,282.25,282.25
2000/01/12,282.25,282.25,282.25,282.25
2000/01/13,282.1,282.1,282.1,282.1
2000/01/14,283.3,283.3,283.3,283.3
2000/01/17,285.35,285.35,285.35,285.35
2000/01/18,285.8,285.8,285.8,285.8
2000/01/19,287.65,287.65,287.65,287.65
2000/01/20,288.1,288.1,288.1,288.1
2000/01/21,287.75,287.75,287.75,287.75
2000/01/24,287.2,287.2,287.2,287.2
2000/01/25,288,288,288,288
2000/01/26,285.9,285.9,285.9,285.9
2000/01/27,285.55,285.55,285.55,285.55
2000/01/28,286.75,286.75,286.75,286.75
2000/01/31,283.3,283.3,283.3,283.3
2000/02/01,283,283,283,283
2000/02/02,285.6,285.6,285.6,285.6
2000/02/03,285.05,285.05,285.05,285.05
2000/02/04,293.65,293.65,293.65,293.65
2000/02/07,312.7,312.7,312.7,312.7
2000/02/08,296.25,296.25,296.25,296.25
2000/02/09,308.6,308.6,308.6,308.6
2000/02/10,309,309,309,309
2000/02/11,311.5,311.5,311.5,311.5
2000/02/14,308.35,308.35,308.35,308.35
2000/02/15,304.25,304.25,304.25,304.25
2000/02/16,302.5,302.5,302.5,302.5
2000/02/17,304.75,304.75,304.75,304.75
2000/02/18,303.55,303.55,303.55,303.55
2000/02/21,305.25,305.25,305.25,305.25
2000/02/22,302.25,302.25,302.25,302.25
2000/02/23,302,302,302,302
2000/02/24,298.75,298.75,298.75,298.75
2000/02/25,294,294,294,294
2000/02/28,292.5,292.5,292.5,292.5
2000/02/29,293.65,293.65,293.65,293.65
2000/03/01,292.9,292.9,292.9,292.9
2000/03/02,289.9,289.9,289.9,289.9
2000/03/03,288.5,288.5,288.5,288.5
2000/03/06,288.8,288.8,288.8,288.8
2000/03/07,289.75,289.75,289.75,289.75
2000/03/08,291.2,291.2,291.2,291.2
2000/03/09,290.5,290.5,290.5,290.5
2000/03/10,290.25,290.25,290.25,290.25
2000/03/13,290.65,290.65,290.65,290.65
2000/03/14,288.75,288.75,288.75,288.75
2000/03/15,289.15,289.15,289.15,289.15
2000/03/16,287.35,287.35,287.35,287.35
2000/03/17,283.9,283.9,283.9,283.9
2000/03/20,285.75,285.75,285.75,285.75
2000/03/21,285.15,285.15,285.15,285.15
