Date,Open,High,Low,Close
2006/01/03,10.472,10.646,10.458,10.642
2006/01/04,10.59,10.678,10.538,10.662
2006/01/05,10.516,10.542,10.438,10.472
2006/01/06,10.638,10.786,10.634,10.764
2006/01/09,10.7,11.008,10.682,10.93
2006/01/10,10.81,10.888,10.76,10.822
2006/01/11,10.86,10.97,10.822,10.91
2006/01/12,10.868,10.942,10.822,10.896
2006/01/13,10.926,11.124,10.91,11.108
2006/01/17,11.06,11.184,11.02,11.068
2006/01/18,10.948,10.948,10.814,10.82
2006/01/19,11.024,11.154,11.008,11.12
2006/01/20,11.25,11.328,11.01,11.046
2006/01/23,11.134,11.182,11.056,11.166
2006/01/24,11.116,11.154,11.074,11.154
2006/01/25,11.268,11.308,11.14,11.248
2006/01/26,11.114,11.202,11.07,11.17
2006/01/27,11.212,11.248,11.122,11.142
2006/01/30,11.2,11.354,11.2,11.354
2006/01/31,11.34,11.424,11.322,11.358
2006/02/01,11.382,11.394,11.234,11.366
2006/02/02,11.41,11.47,11.352,11.416
2006/02/03,11.44,11.452,11.266,11.316
2006/02/06,11.372,11.444,11.35,11.37
2006/02/07,11.21,11.21,10.882,10.932
2006/02/08,10.956,11.02,10.896,10.982
2006/02/09,11.166,11.292,11.126,11.25
2006/02/10,11.166,11.166,10.906,10.976
2006/02/13,10.944,10.99,10.722,10.742
2006/02/14,10.79,10.92,10.75,10.914
2006/02/15,10.83,10.866,10.686,10.764
2006/02/16,10.706,10.924,10.702,10.922
2006/02/17,10.954,11.048,10.95,11.008
2006/02/21,11.058,11.084,11.024,11.03
2006/02/22,11.012,11.08,10.996,11.068
2006/02/23,11.028,11.042,10.92,10.946
2006/02/24,11.052,11.154,11.028,11.15
2006/02/27,11.072,11.076,11.01,11.05
2006/02/28,11.108,11.216,11.082,11.21
2006/03/01,11.218,11.286,11.194,11.232
2006/03/02,11.276,11.374,11.212,11.36
2006/03/03,11.282,11.326,11.252,11.28
2006/03/06,11.28,11.302,11.002,11.068
2006/03/07,11.054,11.054,10.936,11.012
2006/03/08,10.848,10.866,10.722,10.798
2006/03/09,10.934,10.964,10.846,10.87
2006/03/10,10.646,10.804,10.646,10.78
2006/03/13,10.826,10.9,10.796,10.874
2006/03/14,10.86,11.006,10.846,10.996
2006/03/15,11.096,11.096,11.018,11.042
2006/03/16,11.044,11.08,10.912,11.068
2006/03/17,11.07,11.074,10.994,11.04
2006/03/20,11.014,11.09,11.012,11.046
2006/03/21,10.966,11.062,10.902,10.984
2006/03/22,10.962,11.004,10.938,10.966
2006/03/23,10.886,10.978,10.866,10.96
2006/03/24,11.066,11.18,11.04,11.154
2006/03/27,11.262,11.318,11.25,11.288
2006/03/28,11.33,11.332,11.202,11.228
2006/03/29,11.292,11.442,11.276,11.434
2006/03/30,11.63,11.752,11.58,11.726
2006/03/31,11.614,11.67,11.538,11.646
2006/04/03,11.742,11.796,11.696,11.712
2006/04/04,11.712,11.76,11.66,11.7
2006/04/05,11.742,11.762,11.63,11.754
2006/04/06,11.81,11.884,11.794,11.874
2006/04/07,11.73,11.784,11.656,11.744
2006/04/10,11.914,11.956,11.81,11.938
2006/04/11,11.924,11.988,11.82,11.834
2006/04/12,11.91,11.96,11.86,11.904
2006/04/13,11.816,11.936,11.796,11.936
2006/04/17,12.096,12.284,12.06,12.246
2006/04/18,12.3,12.4,12.232,12.4
2006/04/19,12.43,12.796,12.41,12.752
2006/04/20,12.702,12.702,12.12,12.21
2006/04/21,12.51,12.672,12.388,12.664
