Date,Open,High,Low,Close
2000/01/01,100,100,100,100
2000/01/03,99.67,99.67,99.67,99.67
2000/01/04,98.7,98.7,98.7,98.7
2000/01/05,98.42,98.42,98.42,98.42
2000/01/06,98.24,98.24,98.24,98.24
2000/01/07,97.7,97.7,97.7,97.7
2000/01/10,97.98,97.98,97.98,97.98
2000/01/11,99.35,99.35,99.35,99.35
2000/01/12,99.63,99.63,99.63,99.63
2000/01/13,99.47,99.47,99.47,99.47
2000/01/14,100.43,100.43,100.43,100.43
2000/01/17,100.63,100.63,100.63,100.63
2000/01/18,101.66,101.66,101.66,101.66
2000/01/19,101.34,101.34,101.34,101.34
2000/01/20,101.3,101.3,101.3,101.3
2000/01/21,101.11,101.11,101.11,101.11
2000/01/24,101.19,101.19,101.19,101.19
2000/01/25,101.17,101.17,101.17,101.17
2000/01/26,100.69,100.69,100.69,100.69
2000/01/27,101.46,101.46,101.46,101.46
2000/01/28,102.16,102.16,102.16,102.16
2000/01/31,102.34,102.34,102.34,102.34
2000/02/01,102.02,102.02,102.02,102.02
2000/02/02,101.49,101.49,101.49,101.49
2000/02/03,100.13,100.13,100.13,100.13
2000/02/04,100.92,100.92,100.92,100.92
2000/02/07,101.81,101.81,101.81,101.81
2000/02/08,101.09,101.09,101.09,101.09
2000/02/09,101.29,101.29,101.29,101.29
2000/02/10,101.99,101.99,101.99,101.99
2000/02/11,101.82,101.82,101.82,101.82
2000/02/14,102.15,102.15,102.15,102.15
2000/02/15,101.86,101.86,101.86,101.86
2000/02/16,101.88,101.88,101.88,101.88
2000/02/17,102.25,102.25,102.25,102.25
2000/02/18,102.54,102.54,102.54,102.54
2000/02/21,102.38,102.38,102.38,102.38
2000/02/22,101.17,101.17,101.17,101.17
2000/02/23,101.54,101.54,101.54,101.54
2000/02/24,101.45,101.45,101.45,101.45
2000/02/25,101.41,101.41,101.41,101.41
2000/02/28,100.89,100.89,100.89,100.89
2000/02/29,101.55,101.55,101.55,101.55
2000/03/01,100.65,100.65,100.65,100.65
2000/03/02,101.2,101.2,101.2,101.2
2000/03/03,101.29,101.29,101.29,101.29
2000/03/06,101.53,101.53,101.53,101.53
2000/03/07,101.85,101.85,101.85,101.85
2000/03/08,100.72,100.72,100.72,100.72
2000/03/09,100.1,100.1,100.1,100.1
2000/03/10,100.04,100.04,100.04,100.04
2000/03/13,99.46,99.46,99.46,99.46
2000/03/14,99.21,99.21,99.21,99.21
2000/03/15,99.34,99.34,99.34,99.34
2000/03/16,99.47,99.47,99.47,99.47
2000/03/17,100.07,100.07,100.07,100.07
2000/03/20,99.52,99.52,99.52,99.52
2000/03/21,100.17,100.17,100.17,100.17
2000/03/22,100.27,100.27,100.27,100.27
2000/03/23,99.77,99.77,99.77,99.77
2000/03/24,98.99,98.99,98.99,98.99
2000/03/27,98.89,98.89,98.89,98.89
2000/03/28,98.94,98.94,98.94,98.94
2000/03/29,99.12,99.12,99.12,99.12
2000/03/30,98.5,98.5,98.5,98.5
2000/03/31,99.64,99.64,99.64,99.64
2000/04/03,98.95,98.95,98.95,98.95
2000/04/04,98.41,98.41,98.41,98.41
2000/04/05,98.16,98.16,98.16,98.16
2000/04/06,98.01,98.01,98.01,98.01
2000/04/07,98.56,98.56,98.56,98.56
2000/04/10,98.26,98.26,98.26,98.26
2000/04/11,97.59,97.59,97.59,97.59
2000/04/12,97.34,97.34,97.34,97.34
2000/04/13,97.45,97.45,97.45,97.45
2000/04/14,98.15,98.15,98.15,98.15
2000/04/17,98.34,98.34,98.34,98.34
2000/04/18,97.8,97.8,97.8,97.8
2000/04/19,97.92,97.92,97.92,97.92
2000/04/20,97.61,97.61,97.61,97.61
2000/04/21,97.72,97.72,97.72,97.72
2000/04/24,97.71,97.71,97.71,97.71
2000/04/25,98.09,98.09,98.09,98.09
2000/04/26,98.13,98.13,98.13,98.13
2000/04/27,98.17,98.17,98.17,98.17
2000/04/28,98.2,98.2,98.2,98.2
2000/05/01,97.67,97.67,97.67,97.67
2000/05/02,97.07,97.07,97.07,97.07
2000/05/03,97.2,97.2,97.2,97.2
2000/05/04,97.12,97.12,97.12,97.12
2000/05/05,96.73,96.73,96.73,96.73
2000/05/08,97.05,97.05,97.05,97.05
2000/05/09,97.06,97.06,97.06,97.06
2000/05/10,97.57,97.57,97.57,97.57
2000/05/11,98.42,98.42,98.42,98.42
2000/05/12,97.43,97.43,97.43,97.43
2000/05/15,98.01,98.01,98.01,98.01
2000/05/16,98.11,98.11,98.11,98.11
2000/05/17,98.96,98.96,98.96,98.96
2000/05/18,99.82,99.82,99.82,99.82
2000/05/19,99,99,99,99
2000/05/22,98.6,98.6,98.6,98.6
