Date,Open,High,Low,Close
2003/01/02,87.699997,87.900002,86.209999,86.279999
2003/01/03,86.150002,86.540001,85.830002,86.480003
2003/01/06,86.169998,86.290001,85.809998,86.25
2003/01/07,86.190002,86.75,86.169998,86.559998
2003/01/08,86.879997,87.139999,86.779999,86.989998
2003/01/09,86.169998,86.169998,85.019997,85.32
2003/01/10,85.919998,85.919998,85.120003,85.540001
2003/01/13,85.540001,85.870003,85.400002,85.68
2003/01/14,86,86.279999,85.959999,85.980003
2003/01/15,86.279999,86.699997,86.199997,86.400002
2003/01/16,86.379997,86.599998,85.620003,86.519997
2003/01/17,87.099998,87.239998,86.93,86.949997
2003/01/21,86.879997,87.449997,86.800003,87.449997
2003/01/22,87.68,87.900002,87.519997,87.879997
2003/01/23,87.32,87.699997,87.300003,87.449997
2003/01/24,87.739998,88.440002,87.739998,87.970001
2003/01/27,87.900002,88.040001,87.5,87.650002
2003/01/28,87.650002,87.779999,87.099998,87.650002
2003/01/29,87.830002,87.879997,86.980003,87.169998
2003/01/30,87.199997,87.900002,87.099998,87.82
2003/01/31,87.900002,88.209999,87.540001,88.059998
2003/02/03,87.669998,87.910004,87.309998,87.879997
2003/02/04,88.370003,88.400002,88.110001,88.269997
2003/02/05,88.230003,88.699997,87.43,87.510002
2003/02/06,87.839996,88.260002,87.790001,88.220001
2003/02/07,87.769997,88.519997,87.629997,88.419998
2003/02/10,88.120003,88.400002,87.690002,87.800003
2003/02/11,87.599998,87.910004,87.43,87.779999
2003/02/12,87.800003,88.129997,87.669998,88.089996
2003/02/13,88.269997,89.18,88.169998,88.57
2003/02/14,88.300003,88.370003,87.610001,87.809998
2003/02/18,87.559998,87.980003,87.339996,87.919998
2003/02/19,88.389999,88.699997,88.25,88.519997
2003/02/20,88.339996,88.900002,88.339996,88.82
2003/02/21,88.559998,88.720001,88.209999,88.300003
2003/02/24,88.879997,88.900002,88.620003,88.720001
2003/02/25,89.400002,89.650002,89,89.129997
2003/02/26,89.379997,89.75,89.150002,89.75
2003/02/27,89.459999,89.989998,89.309998,89.900002
2003/02/28,89.68,90.540001,89.580002,90.470001
2003/03/03,90,90.449997,89.910004,90.239998
2003/03/04,90.129997,90.449997,90.019997,90.300003
2003/03/05,90.620003,90.629997,90.040001,90.599998
2003/03/06,90.550003,90.68,90.059998,90.25
2003/03/07,90.720001,90.790001,90.050003,90.559998
2003/03/10,90.809998,91.029999,90.68,91.029999
2003/03/11,90.989998,91.160004,90.730003,90.870003
2003/03/12,90.919998,91.360001,90.879997,91.199997
2003/03/13,90.150002,90.389999,89.519997,89.519997
2003/03/14,89.900002,90.120003,89.620003,89.959999
2003/03/17,90.519997,90.519997,88.860001,88.879997
2003/03/18,88.959999,89.199997,88.010002,88.040001
2003/03/19,88.040001,88.07,87.330002,87.389999
2003/03/20,87.82,87.949997,86.760002,87.25
2003/03/21,86.919998,87.050003,86.050003,86.050003
2003/03/24,87.099998,87.599998,86.849998,87.410004
2003/03/25,87.650002,87.82,86.900002,87.309998
2003/03/26,87.25,87.650002,87.25,87.489998
2003/03/27,87.75,87.870003,87.330002,87.550003
2003/03/28,87.919998,88.080002,87.720001,87.75
2003/03/31,88.300003,88.93,88.300003,88.900002
2003/04/01,88.400002,88.790001,87.900002,88.269997
2003/04/02,87.650002,87.699997,87.279999,87.349998
2003/04/03,87.25,87.580002,87.139999,87.300003
2003/04/04,87.059998,87.300003,86.879997,87.050003
2003/04/07,86.220001,86.860001,85.919998,86.849998
2003/04/08,87.050003,87.589996,86.989998,87.550003
2003/04/09,87.400002,87.860001,87.169998,87.809998
2003/04/10,87.75,87.849998,87.349998,87.400002
2003/04/11,86.82,87.32,86.589996,87.260002
2003/04/14,87.099998,87.110001,86.709999,87.019997
2003/04/15,87.330002,87.529999,87.040001,87.489998
2003/04/16,87.529999,87.900002,87.470001,87.849998
2003/04/17,88.239998,88.400002,87.800003,87.989998
2003/04/21,87.480003,87.830002,87.260002,87.800003
2003/04/22,88.150002,88.260002,87.620003,87.75
2003/04/23,87.779999,88.010002,87.599998,87.93
2003/04/24,88.400002,88.989998,88.400002,88.720001
2003/04/25,88.75,89.099998,88.68,88.919998
2003/04/28,89.089996,89.089996,88.779999,88.779999
2003/04/29,88.529999,88.769997,88.32,88.629997
2003/04/30,88.790001,89.519997,88.730003,89.449997
2003/05/01,89.199997,89.599998,88.800003,89.019997
2003/05/02,89.059998,89.07,88.269997,88.32
2003/05/05,88.309998,88.870003,88.199997,88.790001
2003/05/06,88.839996,89.400002,88.519997,89.230003
2003/05/07,90,90.330002,89.82,90.269997
2003/05/08,90.599998,90.900002,90.279999,90.489998
2003/05/09,90.300003,90.620003,90.199997,90.580002
2003/05/12,91.139999,91.190002,90.730003,91.150002
2003/05/13,90.900002,91.370003,90.830002,91.349998
2003/05/14,91.830002,92.980003,91.620003,92.75
2003/05/15,92.599998,93.57,92.599998,93.040001
2003/05/16,93.480003,93.760002,92.949997,93.720001
2003/05/19,94.110001,94.239998,93.129997,93.400002
2003/05/20,93.150002,94.779999,93.120003,94.779999
2003/05/21,94.25,95.660004,94.120003,94.769997
2003/05/22,95.099998,95.699997,94.900002,95.610001
2003/05/23,95.769997,96.209999,95.639999,95.849998
2003/05/27,95.620003,95.709999,94.120003,94.120003
2003/05/28,93.900002,94.139999,93.309998,93.959999
2003/05/29,94.300003,94.800003,94.07,94.779999
2003/05/30,94.449997,94.739998,93.970001,94.599998
2003/06/02,93.879997,93.879997,93.089996,93.510002
