Date,Open,High,Low,Close
2000/01/03,36.5,36.580002,34.82,35.299999
2000/01/04,34.5,34.66,33.900002,34.080002
2000/01/05,34.139999,35.459999,33.900002,34.639999
2000/01/06,34.900002,36.080002,34.540001,36.080002
2000/01/07,36.599998,36.959999,36.099998,36.400002
2000/01/10,36.900002,37.759998,36.119999,36.259998
2000/01/11,35.799999,35.959999,35.299999,35.580002
2000/01/12,35.5,35.68,34.720001,34.900002
2000/01/13,35.200001,35.459999,35.02,35.200001
2000/01/14,35.599998,35.700001,34.02,34.02
2000/01/18,34.080002,34.380001,33.799999,34
2000/01/19,34.099998,34.259998,33.540001,34.18
2000/01/20,34.18,34.68,34,34
2000/01/21,34,34.259998,33.880001,34.220001
2000/01/24,34.700001,34.799999,33.759998,34
2000/01/25,33.900002,34.459999,33.799999,34.060001
2000/01/26,34.16,34.48,34,34.139999
2000/01/27,34.139999,34.400002,33.720001,33.919998
2000/01/28,33.799999,33.860001,33.080002,33.200001
2000/01/31,33.240002,33.66,32.919998,32.919998
2000/02/01,33.32,33.560001,33.060001,33.5
2000/02/02,33.299999,33.360001,32.700001,32.799999
2000/02/03,33,33.48,33,33.400002
2000/02/04,33.540001,33.66,33,33.099998
2000/02/07,32.98,33.400002,32.82,33.279999
2000/02/08,32.900002,33.099998,32.599998,32.700001
2000/02/09,32.259998,32.759998,31.540001,31.76
2000/02/10,31.9,31.959999,30,30.959999
2000/02/11,31.200001,31.360001,29.700001,30.139999
2000/02/14,29.5,29.58,28.32,28.48
2000/02/15,30.4,30.799999,30.02,30.639999
2000/02/16,31.34,34,31.200001,33.279999
2000/02/17,34,34.18,32.099998,33.259998
2000/02/18,33.18,33.720001,31,33.720001
2000/02/22,32.599998,32.66,32,32.400002
2000/02/23,32.400002,32.580002,32,32.32
2000/02/24,32.099998,32.099998,30.4,30.780001
2000/02/25,30.879999,30.940001,29.6,29.799999
2000/02/28,29.700001,29.76,29.040001,29.200001
2000/02/29,29.6,29.620001,28.700001,28.799999
2000/03/01,28.74,29.459999,28.74,29.34
2000/03/02,29.4,29.58,29.040001,29.360001
2000/03/03,29.6,29.940001,29.200001,29.379999
2000/03/06,29,29.4,28.68,28.9
2000/03/07,29.1,29.219999,28.540001,29
2000/03/08,29.040001,29.040001,28.5,28.780001
2000/03/09,28.5,28.540001,27.719999,28
2000/03/10,27.84,28.299999,27.02,27.4
2000/03/13,29,30.120001,28.940001,29.76
2000/03/14,29.559999,29.84,29,29.1
2000/03/15,29.440001,32.900002,29.4,32.52
2000/03/16,32.900002,34.259998,32.880001,34.040001
2000/03/17,34.080002,36.599998,33.599998,34
2000/03/20,34.060001,34.560001,33.099998,33.560001
2000/03/21,33.360001,36.040001,33.299999,35.860001
2000/03/22,35.98,36.360001,35.400002,36.060001
2000/03/23,36.040001,36.66,35.34,35.48
2000/03/24,35.880001,36.48,35.540001,35.98
2000/03/27,36.099998,36.119999,33.959999,34.200001
2000/03/28,33.860001,33.939999,32.939999,33.34
2000/03/29,33.34,33.400002,32.799999,33.34
2000/03/30,33.279999,36.040001,33.220001,34.779999
2000/03/31,35.439999,36.5,34.84,36.400002
2000/04/03,36.700001,36.720001,35.099998,35.099998
2000/04/04,35.5,36.98,35.459999,36.18
2000/04/05,36.400002,37.580002,36.34,36.759998
2000/04/06,36.900002,37.759998,36.900002,37.259998
2000/04/07,37.200001,37.400002,36.599998,36.82
2000/04/10,36.700001,36.959999,36.32,36.419998
2000/04/11,36.459999,36.580002,35.900002,36.080002
2000/04/12,36,37.700001,35.880001,37.419998
2000/04/13,37.919998,38.959999,37.540001,37.799999
2000/04/14,37.32,37.459999,36.34,36.919998
2000/04/17,36.759998,37.200001,36.400002,37.18
2000/04/18,37.5,38.200001,37.299999,37.700001
2000/04/19,37.98,38.02,37.32,37.599998
2000/04/20,37.740002,38.32,37.360001,38.279999
2000/04/24,38.040001,39.040001,37.880001,38.799999
2000/04/25,39,39.16,38.68,39.040001
2000/04/26,39.040001,39.040001,38.200001,38.5
2000/04/27,38,38.48,37.740002,38.400002
2000/04/28,38.400002,38.740002,38.200001,38.32
2000/05/01,38.200001,38.259998,37.040001,37.139999
2000/05/02,37.040001,37.119999,34.720001,34.98
2000/05/03,34.799999,34.919998,34.5,34.900002
2000/05/04,34.900002,35.580002,34.900002,35.52
2000/05/05,35.360001,35.98,35.360001,35.880001
2000/05/08,36,36.18,35.939999,36.060001
