Date,Open,High,Low,Close
2000/01/03,96.1875,96.1875,90.75,94.75
2000/01/04,92,93.5,87.9375,88.25
2000/01/05,87.5,89.625,84.25,86
2000/01/06,86.875,88,79.75,80.09375
2000/01/07,82.9375,90,82.5,90
2000/01/10,91,93.9375,89.9375,92.5
2000/01/11,91.75,92.875,87,88
2000/01/12,89,89.242188,86,86.0625
2000/01/13,88.5,91.5,87.078125,91.25
2000/01/14,93,93.625,92,93.375
2000/01/18,92.0625,94.4375,91.4375,93.875
2000/01/19,93.492188,96,92.429688,96
2000/01/20,95.5,96.875,94.007813,95.0625
2000/01/21,96.5,96.5625,95.0625,96.25
2000/01/24,97.4375,97.625,90.96875,91.625
2000/01/25,91.875,94.117188,89.40625,93
2000/01/26,93.25,93.3125,89,89.25
2000/01/27,91.75,92.5,87.625,90.5625
2000/01/28,90,90.46875,84.75,86
2000/01/31,85.875,90,83.5,89.6875
2000/02/01,89.53125,92.5,88.4375,92.09375
2000/02/02,92.25,94.71875,92.09375,92.875
2000/02/03,94.3125,96.625,92.28125,96.5
2000/02/04,97,98.242188,96.21875,97.15625
2000/02/07,97.25,98.625,96.25,98.5
2000/02/08,99.375,102.875,99.375,102.625
2000/02/09,102.0625,102.195313,98.75,99
2000/02/10,99.8125,102.25,98.554688,102.25
2000/02/11,102.0625,102.0625,98,99.875
2000/02/14,99.992188,100,97.75,99.75
2000/02/15,98.9375,100.625,95.875,100.46875
2000/02/16,99.90625,101.6875,99.3125,100
2000/02/17,101.1875,103.25,99.625,102.125
2000/02/18,102.625,103,98.4375,98.4375
2000/02/22,99,99.9375,96.25,98.75
2000/02/23,99.679688,105,99.15625,104.25
2000/02/24,104.875,106.804688,102,106.5
2000/02/25,106.1875,107.5,103.875,104.0625
2000/02/28,103.25,105.6875,100.5,104
2000/02/29,105.75,107.09375,104.9375,106.75
2000/03/01,107.25,108.5625,106.5,107.625
2000/03/02,108.0625,108.1875,104.75,105.132813
2000/03/03,108,111.125,107,111.0625
2000/03/06,111.75,113.21875,110.25,111.9375
2000/03/07,113.8125,113.875,108.75,110.25
2000/03/08,111,112,106.28125,111.25
2000/03/09,111.21875,115.5,109.09375,115
2000/03/10,114.875,116.4375,113.507813,114.5
2000/03/13,110,114.125,109.53125,111.5
2000/03/14,112.75,113.375,105,107.375
2000/03/15,106.5,107,101.875,102.875
2000/03/16,105.375,109.25,101,108.75
2000/03/17,108,111.0625,107.9375,110.8125
2000/03/20,111,111.5,106.25,107.6875
2000/03/21,106.125,111.9375,103.5625,111.75
2000/03/22,113.5,115.96875,111.125,114
2000/03/23,114.484375,117.75,113.5625,116
2000/03/24,117.484375,120.5,115.015625,117.5625
2000/03/27,118,119.5,117.125,117.75
2000/03/28,116.984375,117.8125,113.125,114.75
2000/03/29,115.375,115.4375,110,110
2000/03/30,107.25,112.75,103.5,107.25
2000/03/31,108.140625,110.625,104,109.5
2000/04/03,107.765625,109.125,100.75,102.9375
2000/04/04,103.625,103.9375,88.3125,101.9375
2000/04/05,97.5,103.9375,96.25,100.125
2000/04/06,102.375,103.875,99.75,102.5
2000/04/07,104.125,107.375,102.625,106.625
2000/04/10,107.625,107.6875,99.25,100.125
2000/04/11,97.125,101.5,95.0625,97.75
2000/04/12,97.625,98.75,90.25,92
2000/04/13,92.8125,96,88,88
2000/04/14,86.0625,88.5,78,80.375
2000/04/17,78.015625,90,78,89.625
2000/04/18,89.484375,93,87.375,92
2000/04/19,92.5,93.625,89.0625,89.1875
2000/04/20,90.375,90.96875,86.0625,87.25
2000/04/24,83.4375,85.25,79.875,84.75
2000/04/25,86.5,90.5,86,90.46875
2000/04/26,90.625,92.421875,87.125,87.375
2000/04/27,84,92.484375,82.25,91.25
2000/04/28,93.5625,94.75,92.125,94.75
2000/05/01,95.75,96.875,94.25,95.625
2000/05/02,94.875,95.625,89.75,90.125
2000/05/03,89.5,90.25,85.515625,89.125
2000/05/04,89,90.75,87.625,89.3125
