Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,88.180000,88.839996,88.160004,88.739998,48.192692,1168000
2005-01-04,88.720001,88.750000,87.809998,87.809998,47.687691,1935400
2005-01-05,87.989998,88.550003,87.940002,88.279999,47.942924,1094100
2005-01-06,88.290001,88.540001,88.220001,88.339996,47.975510,1057400
2005-01-07,88.760002,88.870003,88.349998,88.540001,48.084126,738700
2005-01-10,88.639999,88.720001,88.470001,88.680000,48.160141,379400
2005-01-11,88.900002,89.279999,88.739998,89.199997,48.442528,844100
2005-01-12,88.870003,89.440002,88.800003,89.320000,48.507736,722000
2005-01-13,89.750000,90.180000,89.730003,90.180000,48.974777,1876700
2005-01-14,89.900002,90.400002,89.809998,90.169998,48.969330,1043800
2005-01-18,89.800003,90.489998,89.730003,90.470001,49.132267,1251600
2005-01-19,90.800003,90.839996,90.269997,90.730003,49.273438,655800
2005-01-20,90.419998,91.019997,90.349998,90.910004,49.371231,1064200
2005-01-21,90.599998,91.050003,90.519997,91.010002,49.425510,606300
2005-01-24,91.089996,91.500000,91.000000,91.400002,49.637348,561400
2005-01-25,91.360001,91.400002,90.510002,90.540001,49.170300,1942200
2005-01-26,90.849998,90.919998,90.629997,90.709999,49.262600,709800
2005-01-27,90.519997,90.699997,90.339996,90.540001,49.170300,463900
2005-01-28,91.220001,91.599998,91.169998,91.449997,49.664482,1128000
2005-01-31,91.330002,91.750000,91.290001,91.709999,49.805683,1313900
2005-02-01,91.440002,91.500000,91.050003,91.220001,49.726624,948200
2005-02-02,91.199997,91.459999,91.089996,91.430000,49.841114,760300
2005-02-03,91.059998,91.440002,91.059998,91.379997,49.813866,505800
2005-02-04,92.470001,92.940002,92.459999,92.650002,50.506184,3483900
2005-02-07,92.739998,93.419998,92.699997,93.339996,50.882294,1064600
2005-02-08,93.370003,94.120003,93.330002,93.870003,51.171223,1383800
2005-02-09,93.440002,94.239998,93.379997,94.120003,51.307491,2125800
2005-02-10,93.489998,93.680000,92.750000,92.849998,50.615189,1240000
2005-02-11,92.459999,92.980003,92.400002,92.790001,50.582428,1275200
2005-02-14,92.900002,93.209999,92.730003,93.080002,50.740574,295000
2005-02-15,92.599998,92.860001,92.570000,92.610001,50.484360,900200
2005-02-16,92.510002,92.570000,91.800003,92.260002,50.293556,1189700
2005-02-17,91.760002,92.139999,91.599998,91.680000,49.977375,1146400
2005-02-18,90.550003,90.949997,90.459999,90.860001,49.530365,2655800
2005-02-22,90.629997,90.750000,90.400002,90.459999,49.312309,914600
2005-02-23,91.139999,91.169998,90.430000,90.760002,49.475864,1115000
2005-02-24,91.160004,91.330002,90.559998,90.559998,49.366840,798500
2005-02-25,90.889999,91.139999,90.620003,91.000000,49.606686,588800
2005-02-28,91.099998,91.099998,89.889999,90.019997,49.072449,2797300
2005-03-01,89.540001,89.860001,89.449997,89.709999,49.057144,1648500
2005-03-02,89.449997,89.720001,89.419998,89.589996,48.991539,1139300
2005-03-03,89.620003,89.800003,89.449997,89.540001,48.964211,1600600
2005-03-04,89.989998,90.669998,89.870003,90.510002,49.494633,1567000
2005-03-07,90.849998,90.989998,90.750000,90.870003,49.691505,889800
2005-03-08,90.129997,90.269997,89.940002,90.010002,49.221207,680400
2005-03-09,89.180000,89.400002,88.440002,88.540001,48.417374,2549600
2005-03-10,88.739998,89.330002,88.389999,89.080002,48.712673,1357700
2005-03-11,88.650002,88.870003,88.400002,88.430000,48.357166,1017900
2005-03-14,88.370003,89.000000,88.300003,88.959999,48.647018,805000
2005-03-15,89.290001,89.300003,88.400002,88.400002,48.340816,963900
2005-03-16,88.540001,89.360001,88.540001,88.940002,48.636082,2097800
2005-03-17,89.349998,89.580002,89.120003,89.230003,48.794697,1025300
2005-03-18,88.900002,88.980003,88.669998,88.669998,48.488438,722700
2005-03-21,88.669998,88.669998,88.379997,88.419998,48.351715,893100
2005-03-22,88.940002,89.050003,87.540001,87.669998,47.941563,2544900
2005-03-23,87.529999,88.160004,87.529999,88.089996,48.171268,1951700
2005-03-24,88.320000,88.459999,88.180000,88.269997,48.269695,746800
2005-03-28,87.989998,88.000000,87.720001,87.730003,47.974411,382200
2005-03-29,88.080002,88.279999,87.989998,88.250000,48.258743,1135000
2005-03-30,88.199997,88.750000,88.160004,88.690002,48.499340,1095600
2005-03-31,89.199997,89.389999,88.860001,89.330002,48.849339,2410900
2005-04-01,89.529999,89.660004,88.500000,89.300003,49.014019,2805300
2005-04-04,89.279999,89.660004,89.169998,89.279999,49.003071,754800
2005-04-05,89.239998,89.360001,88.930000,89.050003,48.876812,733300
2005-04-06,89.410004,89.440002,89.199997,89.360001,49.046940,402800
2005-04-07,89.300003,89.580002,88.610001,88.639999,48.651779,973000
2005-04-08,88.559998,89.000000,88.339996,88.949997,48.821911,438600
2005-04-11,88.970001,89.620003,88.940002,89.430000,49.085361,1460200
2005-04-12,89.230003,90.400002,89.120003,90.260002,49.540958,1931500
2005-04-13,90.349998,90.440002,89.800003,90.040001,49.420200,1001700
2005-04-14,90.080002,90.120003,89.660004,89.900002,49.343342,1461800
2005-04-15,90.540001,91.120003,90.220001,91.089996,49.996471,2807300
2005-04-18,91.370003,91.389999,90.940002,91.019997,49.958084,3510800
2005-04-19,91.339996,92.040001,91.320000,91.900002,50.441082,1733600
2005-04-20,91.220001,91.769997,91.180000,91.669998,50.314835,1617900
2005-04-21,91.300003,91.419998,90.699997,90.709999,49.787937,1288500
2005-04-22,91.269997,91.580002,91.089996,91.470001,50.205078,876300
2005-04-25,91.660004,91.820000,91.510002,91.739998,50.353275,818300
2005-04-26,91.989998,92.050003,91.339996,91.599998,50.276417,549300
2005-04-27,92.050003,92.199997,91.800003,91.919998,50.452042,684900
2005-04-28,92.050003,92.650002,91.949997,92.599998,50.825253,1062000
2005-04-29,92.570000,92.940002,92.220001,92.440002,50.737492,1445100
2005-05-02,92.150002,92.260002,91.709999,92.089996,50.726456,1358200
2005-05-03,92.070000,92.540001,91.919998,92.339996,50.864189,1884900
2005-05-04,91.449997,91.720001,91.050003,91.529999,50.418007,2211500
2005-05-05,91.300003,91.839996,91.209999,91.739998,50.533669,1757900
2005-05-06,90.930000,91.199997,90.809998,91.059998,50.159134,850600
2005-05-09,91.010002,91.239998,91.000000,91.150002,50.208702,327800
2005-05-10,91.360001,91.800003,91.339996,91.800003,50.566708,495500
