Date,Open,High,Low,Close
2005/01/03,88.18,88.839996,88.160004,88.739998
2005/01/04,88.720001,88.75,87.809998,87.809998
2005/01/05,87.989998,88.550003,87.940002,88.279999
2005/01/06,88.290001,88.540001,88.220001,88.339996
2005/01/07,88.760002,88.870003,88.349998,88.540001
2005/01/10,88.639999,88.720001,88.470001,88.68
2005/01/11,88.900002,89.279999,88.739998,89.199997
2005/01/12,88.870003,89.440002,88.800003,89.32
2005/01/13,89.75,90.18,89.730003,90.18
2005/01/14,89.900002,90.400002,89.809998,90.169998
2005/01/18,89.800003,90.489998,89.730003,90.470001
2005/01/19,90.800003,90.839996,90.269997,90.730003
2005/01/20,90.419998,91.019997,90.349998,90.910004
2005/01/21,90.599998,91.050003,90.519997,91.010002
2005/01/24,91.089996,91.5,91,91.400002
2005/01/25,91.360001,91.400002,90.510002,90.540001
2005/01/26,90.849998,90.919998,90.629997,90.709999
2005/01/27,90.519997,90.699997,90.339996,90.540001
2005/01/28,91.220001,91.599998,91.169998,91.449997
2005/01/31,91.330002,91.75,91.290001,91.709999
2005/02/01,91.440002,91.5,91.050003,91.220001
2005/02/02,91.199997,91.459999,91.089996,91.43
2005/02/03,91.059998,91.440002,91.059998,91.379997
2005/02/04,92.470001,92.940002,92.459999,92.650002
2005/02/07,92.739998,93.419998,92.699997,93.339996
2005/02/08,93.370003,94.120003,93.330002,93.870003
2005/02/09,93.440002,94.239998,93.379997,94.120003
2005/02/10,93.489998,93.68,92.75,92.849998
2005/02/11,92.459999,92.980003,92.400002,92.790001
2005/02/14,92.900002,93.209999,92.730003,93.080002
2005/02/15,92.599998,92.860001,92.57,92.610001
2005/02/16,92.510002,92.57,91.800003,92.260002
2005/02/17,91.760002,92.139999,91.599998,91.68
2005/02/18,90.550003,90.949997,90.459999,90.860001
2005/02/22,90.629997,90.75,90.400002,90.459999
2005/02/23,91.139999,91.169998,90.43,90.760002
2005/02/24,91.160004,91.330002,90.559998,90.559998
2005/02/25,90.889999,91.139999,90.620003,91
2005/02/28,91.099998,91.099998,89.889999,90.019997
2005/03/01,89.540001,89.860001,89.449997,89.709999
2005/03/02,89.449997,89.720001,89.419998,89.589996
2005/03/03,89.620003,89.800003,89.449997,89.540001
2005/03/04,89.989998,90.669998,89.870003,90.510002
2005/03/07,90.849998,90.989998,90.75,90.870003
2005/03/08,90.129997,90.269997,89.940002,90.010002
2005/03/09,89.18,89.400002,88.440002,88.540001
2005/03/10,88.739998,89.330002,88.389999,89.080002
2005/03/11,88.650002,88.870003,88.400002,88.43
